title	link	snippet	date
Race to rescue injured as death toll rises above 2,000, after ...	https://www.youtube.com/watch?v=ITYR5eiswKk	Oct 8, 2023 ... More than 2000 people have died in earthquakes in Afghanistan over the weekend, plunging the country into a further humanitarian crisis.	Oct 8, 2023
Locals search for survivors in Afghanistan as death toll from quake ...	https://www.youtube.com/watch?v=oNNYMTQcbpI	Oct 8, 2023 ... At least 2000 people have died from the earthquakes that shook Afghanistan on Saturday, a Taliban spokesperson has confirmed. A powerful magnitude-6.3 ...	Oct 8, 2023
News Wrap: Desperate search for survivors continues after Afghan ...	https://www.youtube.com/watch?v=0xzz32sokaE	Oct 8, 2023 ... In our news wrap Sunday, the death toll in Saturday's earthquakes that leveled multiple villages in western Afghanistan climbed to nearly 2500, ...	Oct 8, 2023
Afghanistan hit by seventh earthquake in eight days - YouTube	https://www.youtube.com/watch?v=GENskga7F70	7 days ago ... ... died and nearly 150 others had been injured. The earthquakes on 7 October ... Earthquake #Tremor #Quake #Afghanistan #Herat #News.	Oct 15, 2023
Afghanistan earthquake: Hundreds feared dead in 6.3 quake, many ...	https://www.youtube.com/watch?v=RcPNyl_qIW4	"Oct 7, 2023 ... The death toll from a series of earthquakes in remote western Afghanistan rose sharply Sunday to ""more than 1000"", a government spokesman said."	Oct 7, 2023
Afghanistan Earthquake Claims Over 2000 Deaths | SAMAA TV ...	https://www.youtube.com/watch?v=HD-7r1Y0jWY	Oct 8, 2023 ... samaatv #earthquake #afghanistan #breakingnews Afghanistan Earthquake Claims Over 2000 Deaths | SAMAA TV SAMAA TV is the top Pakistani news channel covering ...	Oct 8, 2023
Search for Victims Continues in Herat Province Following Afghan ...	https://www.youtube.com/watch?v=2W8stKluvfg	Oct 8, 2023 ... Afghanistan Earthquake: Third Quake Hits Country Again | Aid Agencies Urge For Urgent Funds ... Afghanistan earthquakes death toll rises to 400 | World News | ...	Oct 8, 2023
'Allahu Akbar' Cries As Powerful Quake Jolts Afghanistan; Over ...	https://www.youtube.com/watch?v=3DhPdhjT93g	Oct 8, 2023 ... A deadly earthquake jolted parts of Afghanistan, killing over 2000 people and injuring more than 9000. The death toll is expected to increase as rescue ...	Oct 8, 2023
Earth Quake In Afghanistan | Destruction Every Where | Afghanistan ...	https://www.youtube.com/watch?v=2vOh-6H6bb8	Oct 8, 2023 ... Earth Quake In Afghanistan | Destruction Every Where | Afghanistan Latest Updates | Breaking News #EarthQuake #Afghanistan #BreakingNews earthquake in ...	Oct 8, 2023
Afghanistan Earthquakes Kill 2,053, Taliban Says, As Death Toll ...	https://www.youtube.com/watch?v=fs2QJzQV60Y	Oct 8, 2023 ... Powerful earthquakes in Afghanistan have killed more than 2000 people and injured more than 9000, the Taliban administration said on Sunday, ...	Oct 8, 2023
News Wrap: Parts of western Afghanistan hit with second strong ...	https://www.youtube.com/watch?v=yAHXxty5tcM	Oct 11, 2023 ... In our news wrap Wednesday, a strong new earthquake rocked the same parts of western Afghanistan that are reeling from Saturday's deadly tremor, ...	Oct 11, 2023
Horrific Earthquake in Afghanistan | Many People Died | Breaking ...	https://www.youtube.com/watch?v=iEcJcoZ1bbc	7 days ago ... Horrific Earthquake in Afghanistan | Several People Died | Latest Update | Breaking News #DunyaBOLHai #Afghanistanearthquake #Earthquake #Afghanistan #BOL ...	Oct 15, 2023
Afghanistan earthquakes kill 2053, Taliban say, as death toll spikes ...	https://www.youtube.com/watch?v=9LYvTAGRe0o	Oct 8, 2023 ... Afghanistan earthquakes kill 2053, Taliban say, as death toll spikes | Geo News Do not miss an important news update ever. Subscribe and hit the bell icon ...	Oct 8, 2023
Afghanistan Earthquake 2023: Powerful quake triggers landslides ...	https://www.youtube.com/watch?v=unU9aQxjreI	Oct 8, 2023 ... The death toll from a 6.3 magnitude earthquake in western Afghanistan on Saturday (Oct 7) has risen to more than 2000, according to a Taliban spokesperson ...	Oct 8, 2023
AFGHANISTAN EARTHQUAKES: DEATH TOLL CROSSES 2,000; 6 ...	https://www.youtube.com/watch?v=8idj17WJgzY	Oct 8, 2023 ... The death toll from a series of earthquakes in western Afghanistan jumped to more than 1000 on October 8, as rescuers searched for survivors among the ...	Oct 8, 2023
Horrific Earthquake in Afghanistan | Several People Died | Latest ...	https://www.youtube.com/watch?v=lkzSyUfEMIw	Oct 8, 2023 ... Horrific Earthquake in Afghanistan | Several People Died | Latest Update | Breaking News #DunyaBOLHai #Afghanistanearthquake #Earthquake #Afghanistan #BOL ...	Oct 8, 2023
Death toll from Afghan earthquakes surpasses 2,400 | ANC - YouTube	https://www.youtube.com/watch?v=pTtXEdZ2mpo	Oct 8, 2023 ... Dateline Philippines: More than 2400 people have been killed in earthquakes in Afghanistan. For more ANC Interviews, click the link below: ...	Oct 8, 2023
Afghanistan Earthquake 2023: Quake of 6.3 magnitude hits the ...	https://www.youtube.com/watch?v=xPdnBo8i5wo	Oct 7, 2023 ... There have been reports of landslides and victims trapped beneath collapsed structures, so the death toll could grow. #afghanistan #earthquake #WION About ...	Oct 7, 2023
Deadly 6.3 magnitude earthquake hits Afghanistan - YouTube	https://www.youtube.com/watch?v=9lkMjKU1GrU	Oct 8, 2023 ... It's one of the deadliest earthquakes to hit the country in nearly two decades.	Oct 8, 2023
Watch :Earthquake News: Death toll from earthquake in Afghanistan ...	https://www.youtube.com/watch?v=FI1xqxdRj4A	Oct 8, 2023 ... There is devastation all around due to several earthquake shocks in Afghanistan. There has been a huge increase in the death toll due to the powerful ...	Oct 8, 2023
Afghanistan earthquakes' death toll rises to 2,053, confirms Taliban ...	https://www.youtube.com/watch?v=zs7LQOtARqo	Oct 8, 2023 ... Kalinga TV is the fastest growing television channel in Odisha. Kalinga TV, being one of the most trusted channels in the state is always on attempt to ...	Oct 8, 2023
Afghanistan earthquake: More than 2,000 killed, toll expected to rise ...	https://www.youtube.com/watch?v=tNrvMARhjrQ	Oct 8, 2023 ... The death toll from a 6.2 magnitude earthquake in western Afghanistan on Saturday (Oct 7) has risen to more than 2000, according to a Taliban spokesperson ...	Oct 8, 2023
Earthquake kills over 2,000 people in Afghanistan - YouTube	https://www.youtube.com/watch?v=-fTEDhe3oOw	Oct 8, 2023 ... The earthquakes are the deadliest to hit the country in more than two decades. The initial quake in Herat was followed by 3 aftershocks.	Oct 8, 2023
In Afghanistan, death toll from strong earthquakes rises to two ...	https://www.youtube.com/watch?v=48Tf6lEzukc	Oct 8, 2023 ... THE HEADLINES: Israel warns Lebanon's Hezbollah militant group as it joins Palestinian Hamas attack; Over 500 people killed on both sides so far.	Oct 8, 2023
Death toll crosses 100 as 3 strong earthquakes hits Afghanistan ...	https://www.youtube.com/watch?v=HgPBdBWEkTc	Oct 7, 2023 ... Death toll crosses 100 as 3 strong earthquakes hits Afghanistan within 30 minutes || Kalinga TV. 2K views · 13 days ago #kalingatvlive #kalingatv ...	Oct 7, 2023
Live | #AfghanistanEarthquake death toll: More than 2000 people ...	https://www.youtube.com/watch?v=lxr5LI1HCsk	Oct 9, 2023 ... Live | #AfghanistanEarthquake death toll: More than 2000 people killed in earthquake #Afghanistan #Earthquake #NaturalDisaster.	Oct 9, 2023
Death toll climbs from earthquake striking western Afghanistan ...	https://www.youtube.com/watch?v=0Xh7xHDXTW8	Oct 8, 2023 ... 아프가니스탄 지진: 강진에 사망자 수천명 달해 The death toll is also climbing in Afghanistan following powerful earthquakes that hit the western part of the ...	Oct 8, 2023
Death toll rises to more than 2,000 after powerful earthquakes strike ...	https://www.youtube.com/watch?v=f6QkBmeMp9w	Oct 8, 2023 ... The death toll from a 6.2 magnitude earthquake in western Afghanistan on Saturday (Oct 7) has risen to more than 2000, according to a Taliban spokesperson ...	Oct 8, 2023
Is the Taliban to blame for the high death toll? | DW News - YouTube	https://www.youtube.com/watch?v=ZC9C8CgcMTY	Oct 9, 2023 ... There have been appeals for the the global community to help Afghanistan following Saturday's deadly 6.3 magnitude earthquake which the Taliban government ...	Oct 9, 2023
Afghan official says death toll from Saturday's magnitude-6.3 ...	https://www.youtube.com/watch?v=EPKelPH0jiM	Oct 7, 2023 ... Afghanistan government says 2053 people have been killed and 9240 have been wounded after a magnitude-6.3 #earthquake struck the city of Herat and other ...	Oct 7, 2023
Afghan hospitals at breaking point after earthquake kills more than ...	https://www.youtube.com/watch?v=t6WNK__vPXY	Oct 9, 2023 ... ... afghanistan-powerful-earthquake-aftershocks-deaths-injuries/102948852 More than two thousand people have been killed, with the death toll expected to rise ...	Oct 9, 2023
Afghanistan earthquake death toll surpasses 4,000 - YouTube	https://www.youtube.com/watch?v=y9Npe_fChM8	Oct 9, 2023 ... 아프가니스탄 강진 사망자 4천여 명으로 급증 We begin in Afghanistan where the Taliban has said that the death toll from a devastating earthquake over the ...	Oct 9, 2023
'Disaster on top of disaster': Afghanistan struck by second earthquake	https://www.youtube.com/watch?v=wu-oesobKyg	Oct 12, 2023 ... Another deadly earthquake in western Afghanistan has increased the death toll to more than 3000 people, according to Taliban officials.	Oct 12, 2023
Death toll from Afghanistan earthquakes rises to 2,000, Taliban says ...	https://www.youtube.com/watch?v=Av5RX2hignc	Oct 9, 2023 ... The death toll from strong earthquakes that shook western Afghanistan has risen to 2000, a Taliban spokesman said. The updated figure makes it one of the ...	Oct 9, 2023
Child pulled alive from rubble after Afghanistan earthquake - YouTube	https://www.youtube.com/watch?v=uzNx8b4OXu8	Oct 8, 2023 ... under rubble after a magnitude 6.3 earthquake in Afghanistan. She was found in her dead mother's arms. The Taliban says more than 2000 people have died ...	Oct 8, 2023
The death toll from the earthquake in Afghanistan goes passed 2500 ...	https://www.youtube.com/watch?v=MahtoNjgZbE	Oct 8, 2023 ... http://bit.ly/HumUpdates\ Subscribe to stay updated with HUM NEWS LIVE The death toll from the earthquake in Afghanistan goes passed 2500 | Hum News ...	Oct 8, 2023
Death toll nears 3,000 after earthquakes shake Afghanistan - YouTube	https://www.youtube.com/watch?v=V7hzT8TcKZA	Oct 9, 2023 ... The death toll from two earthquakes that struck western Afghanistan over the weekend is approaching 3000. Survivors have spent another night sleeping among ...	Oct 9, 2023
Afghanistan earthquake: Houses reduced to rubble by deadly quake ...	https://www.youtube.com/watch?v=iIbPYMLEr-M	6 days ago ... Within the span of a week, the nation has been jolted by a third earthquake with a powerful magnitude of 6.3. the earthquake shook the western part of ...	Oct 16, 2023
Over 320 Killed, 12 Villages Entirely Destroyed In Afghanistan ...	https://www.youtube.com/watch?v=PxQH6mtEbJE	Oct 8, 2023 ... More than 320 people have been killed and hundreds feared wounded after a 6.3 magnitude earthquake hit western Afghanistan's Herat, according to the United ...	Oct 8, 2023
Thousands dead after strong earthquake hits Afghanistan - YouTube	https://www.youtube.com/watch?v=BivYzmmVerA	Oct 8, 2023 ... The death toll from a series of earthquakes in western Afghanistan rose sharply on Sunday to more than 2000 as rescuers scrabbled for survivors among the ...	Oct 8, 2023
Thousands dead after strong earthquake hits Afghanistan - YouTube	https://www.youtube.com/watch?v=BivYzmmVerA	Oct 8, 2023 ... The death toll from a series of earthquakes in western Afghanistan rose sharply on Sunday to more than 2000 as rescuers scrabbled for survivors among the ...	Oct 8, 2023
Death toll from Afghanistan earthquakes rises to 2,000, Taliban says ...	https://www.youtube.com/watch?v=rlJNOYsWV3g	Oct 8, 2023 ... Warning, contains graphic content. The death toll from strong earthquakes that shook western Afghanistan has risen to 2000, a Taliban spokesman said.	Oct 8, 2023
Watch: Images of Devastation after Earthquake in Afghanistan, Over ...	https://www.youtube.com/watch?v=epSCGfcbZ90	Oct 8, 2023 ... A Taliban spokesperson has reported a tragic earthquake in western Afghanistan, resulting in a death toll of 2053 and 9240 injuries, marking one of the ...	Oct 8, 2023
